SiteID,861847,Site Timezone,-7,Data Timezone,-7,Longitude,-104.996551514,Latitude,39.7413291931
Year,Month,Day,Hour,Minute,wind speed at 100m (m/s),wind speed at 120m (m/s),wind direction at 100m (deg),wind direction at 120m (deg),air temperature at 100m (C),air temperature at 120m (C),surface air pressure (Pa),air pressure at 100m (Pa),air pressure at 200m (Pa)
2020,1,1,0,30,13.46,N/A,271.1,271.13,6.97,7.08,83660,82650,81650
2020,1,1,1,30,11.78,N/A,270.57,271.86,7.29,7.33,83730,82690,81690
2020,1,1,2,30,6.6000000000000005,N/A,321.67,320.96,4.71,4.91,83750,82710,81700
2020,1,1,3,30,4.08,N/A,350.04,355.46,3.58,3.68,83750,82720,81710
2020,1,1,4,30,3.52,N/A,17.240000000000002,18.28,2.77,2.75,83830,82780,81760
2020,1,1,5,30,2.52,N/A,8.86,16.35,2,2.33,83910,82860,81840
2020,1,1,6,30,1,N/A,244.17000000000002,200.33,2.13,2.42,83990,82920,81900
2020,1,1,7,30,0.32,N/A,247.99,260.75,2.31,2.46,84010,82950,81920
2020,1,1,8,30,2.13,N/A,86.51,92.88,2.47,2.5300000000000002,84050,82990,81970
2020,1,1,9,30,5.23,N/A,57.870000000000005,57.11,1.41,1.31,84130,83110,82080
2020,1,1,10,30,4.2700000000000005,N/A,36.34,36.19,1.6500000000000001,1.44,84190,83160,82140
2020,1,1,11,30,5.17,N/A,17.47,17.18,2.32,2.1,84280,83200,82170
2020,1,1,12,30,6.0600000000000005,N/A,9.65,9.53,2.85,2.64,84320,83230,82210
2020,1,1,13,30,7.13,N/A,16.1,15.89,2.77,2.56,84340,83290,82270
2020,1,1,14,30,9.43,N/A,22.85,22.43,1.72,1.51,84410,83360,82330
2020,1,1,15,30,7.46,N/A,25.26,24.59,-0.36,-0.5700000000000001,84510,83440,82400
2020,1,1,16,30,5.51,N/A,14.18,13.46,-1.03,-1.22,84580,83540,82500
2020,1,1,17,30,2.12,N/A,42.51,38.94,-0.67,-0.84,84650,83600,82560
2020,1,1,18,30,1.33,N/A,309.52,319.2,0.34,0.19,84680,83640,82610
2020,1,1,19,30,2.79,N/A,56.21,53.21,-1.75,-1.94,84720,83680,82640
2020,1,1,20,30,2.17,N/A,22.84,21.45,-1.24,-1.42,84740,83660,82620
2020,1,1,21,30,1.44,N/A,21.07,20.59,-0.97,-1.16,84710,83650,82610
2020,1,1,22,30,0.9,N/A,123.35000000000001,123.26,-1.02,-1.22,84660,83610,82560
2020,1,1,23,30,3.72,N/A,211.58,213.16,-0.77,-0.96,84610,83570,82520
2020,1,2,0,30,4.19,N/A,208.67000000000002,210.34,-0.8,-0.9500000000000001,84580,83530,82490
2020,1,2,1,30,5.41,N/A,282.05,289.58,1.1500000000000001,1.1300000000000001,84560,83510,82470
2020,1,2,2,30,7.98,N/A,321.3,321.89,2.32,2.29,84520,83470,82440
2020,1,2,3,30,4.55,N/A,336.72,336.98,2.32,2.25,84500,83440,82410
2020,1,2,4,30,2.48,N/A,202,208.05,1.7,1.62,84500,83450,82420
2020,1,2,5,30,3.2,N/A,154.76,155.21,1.84,1.9000000000000001,84500,83450,82420
2020,1,2,6,30,3.98,N/A,148.26,145.53,1.6300000000000001,1.68,84500,83440,82410
2020,1,2,7,30,4.67,N/A,147.84,144.78,1.67,1.9100000000000001,84480,83420,82390
2020,1,2,8,30,4.03,N/A,155.51,151.46,1.19,1.35,84490,83430,82390
2020,1,2,9,30,3.16,N/A,150.47,149.68,2.1,2,84480,83430,82400
2020,1,2,10,30,3.09,N/A,157.78,157.64000000000001,4.14,3.94,84430,83400,82380
2020,1,2,11,30,2.45,N/A,155.36,155.03,5.98,5.7700000000000005,84380,83360,82350
2020,1,2,12,30,2.5500000000000003,N/A,147.5,147.87,7.18,6.97,84350,83330,82320
2020,1,2,13,30,1.84,N/A,163.32,163.48,8.05,7.84,84320,83290,82280
2020,1,2,14,30,1.19,N/A,132.98,133.6,8.700000000000001,8.49,84290,83260,82250
2020,1,2,15,30,2.15,N/A,36.32,37.980000000000004,8.66,8.47,84240,83200,82200
2020,1,2,16,30,2.98,N/A,35.59,39.52,8.22,8.11,84210,83180,82180
2020,1,2,17,30,3.6,N/A,10.78,12.94,6.36,6.3,84200,83170,82170
2020,1,2,18,30,0.76,N/A,344.29,357.8,5.39,5.45,84200,83170,82160
2020,1,2,19,30,0.6900000000000001,N/A,169.97,159.86,5.04,5.07,84150,83110,82090
2020,1,2,20,30,1.31,N/A,140.43,146.85,5.12,5.2,84110,83060,82050
2020,1,2,21,30,4.4,N/A,188.43,189.83,6.17,6.73,84040,83000,82000
2020,1,2,22,30,4.34,N/A,165.57,169.20000000000002,5.5600000000000005,5.8500000000000005,84000,82950,81950
2020,1,2,23,30,3.16,N/A,216.83,233.24,7.62,7.87,83920,82890,81890
2020,1,3,0,30,5.09,N/A,231.53,244.9,7.8100000000000005,8.19,83870,82830,81840
2020,1,3,1,30,4.98,N/A,226.44,236.02,7.95,8.11,83810,82790,81790
2020,1,3,2,30,4.89,N/A,259.27,267.14,9.06,9.11,83740,82720,81730
2020,1,3,3,30,2.37,N/A,207.01,228.03,9.11,9.17,83670,82650,81660
2020,1,3,4,30,2.11,N/A,147.83,166.86,9.88,9.68,83600,82590,81600
2020,1,3,5,30,2.48,N/A,149.45000000000002,166,9.71,9.67,83550,82540,81550
2020,1,3,6,30,2.67,N/A,153.48,165.6,10.1,10.02,83490,82480,81490
2020,1,3,7,30,1.6500000000000001,N/A,176.70000000000002,197.59,9.93,9.73,83430,82420,81430
2020,1,3,8,30,2.56,N/A,226.34,238.75,9.65,9.51,83390,82380,81390
2020,1,3,9,30,5.1000000000000005,N/A,238.69,245.46,10.39,10.23,83330,82330,81340
