time,power
Sat 29 Apr 2020 22:00:00 GMT,2.926664
Sat 29 Apr 2020 22:04:00 GMT,3.830094
Sat 29 Apr 2020 22:08:00 GMT,3.662166
Sat 29 Apr 2020 22:12:00 GMT,3.497056
Sat 29 Apr 2020 22:16:00 GMT,3.420709
Sat 29 Apr 2020 22:20:00 GMT,3.053559
Sat 29 Apr 2020 22:24:00 GMT,3.771447
Sat 29 Apr 2020 22:28:00 GMT,3.582264
Sat 29 Apr 2020 22:32:00 GMT,3.463554
Sat 29 Apr 2020 22:36:00 GMT,3.384953
Sat 29 Apr 2020 22:40:00 GMT,2.893928
Sat 29 Apr 2020 22:44:00 GMT,3.504775
Sat 29 Apr 2020 22:48:00 GMT,3.40589
Sat 29 Apr 2020 22:52:00 GMT,3.526588
Sat 29 Apr 2020 22:56:00 GMT,3.41302
Sat 29 Apr 2020 23:00:00 GMT,2.717773
Sat 29 Apr 2020 23:04:00 GMT,3.582919
Sat 29 Apr 2020 23:08:00 GMT,3.544837
Sat 29 Apr 2020 23:12:00 GMT,3.630467
Sat 29 Apr 2020 23:16:00 GMT,3.45194
Sat 29 Apr 2020 23:20:00 GMT,3.49401
Sat 29 Apr 2020 23:24:00 GMT,3.543183
Sat 29 Apr 2020 23:28:00 GMT,2.761832
Sat 29 Apr 2020 23:32:00 GMT,3.411705
Sat 29 Apr 2020 23:36:00 GMT,3.52129
Sat 29 Apr 2020 23:40:00 GMT,3.769725
Sat 29 Apr 2020 23:44:00 GMT,3.811804
Sat 29 Apr 2020 23:48:00 GMT,2.861277
Sat 29 Apr 2020 23:52:00 GMT,3.534612
Sat 29 Apr 2020 23:56:00 GMT,3.646598
Sun 30 Apr 2020 00:00:00 GMT,3.729805
Sun 30 Apr 2020 00:04:00 GMT,3.693487
Sun 30 Apr 2020 00:08:00 GMT,2.777881
Sun 30 Apr 2020 00:12:00 GMT,3.496334
Sun 30 Apr 2020 00:16:00 GMT,3.424734
Sun 30 Apr 2020 00:20:00 GMT,3.553017
Sun 30 Apr 2020 00:24:00 GMT,3.757095
Sun 30 Apr 2020 00:28:00 GMT,3.800804
Sun 30 Apr 2020 00:32:00 GMT,3.552595
Sun 30 Apr 2020 00:36:00 GMT,2.866586
Sun 30 Apr 2020 00:40:00 GMT,3.673387
Sun 30 Apr 2020 00:44:00 GMT,3.779213
Sun 30 Apr 2020 00:48:00 GMT,2.861094
Sun 30 Apr 2020 00:52:00 GMT,3.60707
Sun 30 Apr 2020 00:56:00 GMT,3.512303
Sun 30 Apr 2020 01:00:00 GMT,3.452565
Sun 30 Apr 2020 01:04:00 GMT,3.455101
Sun 30 Apr 2020 01:08:00 GMT,2.899045
Sun 30 Apr 2020 01:12:00 GMT,3.622202
Sun 30 Apr 2020 01:16:00 GMT,3.523739
Sun 30 Apr 2020 01:20:00 GMT,3.799312
Sun 30 Apr 2020 01:24:00 GMT,3.732434
Sun 30 Apr 2020 01:28:00 GMT,2.875414
Sun 30 Apr 2020 01:32:00 GMT,3.517926
Sun 30 Apr 2020 01:36:00 GMT,3.560308
Sun 30 Apr 2020 01:40:00 GMT,3.559687
Sun 30 Apr 2020 01:44:00 GMT,3.50585
Sun 30 Apr 2020 01:48:00 GMT,3.830894
Sun 30 Apr 2020 01:52:00 GMT,3.796437
Sun 30 Apr 2020 01:56:00 GMT,2.847662
Sun 30 Apr 2020 02:00:00 GMT,3.413745
Sun 30 Apr 2020 02:04:00 GMT,3.624605
Sun 30 Apr 2020 02:08:00 GMT,3.61276
Sun 30 Apr 2020 02:12:00 GMT,3.527048
Sun 30 Apr 2020 02:16:00 GMT,3.059913
Sun 30 Apr 2020 02:20:00 GMT,3.694848
Sun 30 Apr 2020 02:24:00 GMT,2.958497
Sun 30 Apr 2020 02:28:00 GMT,2.78075
Sun 30 Apr 2020 02:32:00 GMT,3.450699
Sun 30 Apr 2020 02:36:00 GMT,2.905796
Sun 30 Apr 2020 02:40:00 GMT,3.792861
Sun 30 Apr 2020 02:44:00 GMT,3.544177
Sun 30 Apr 2020 02:48:00 GMT,3.488113
Sun 30 Apr 2020 02:52:00 GMT,3.712497
Sun 30 Apr 2020 02:56:00 GMT,3.110009
Sun 30 Apr 2020 03:00:00 GMT,3.446965
Sun 30 Apr 2020 03:04:00 GMT,3.445162
Sun 30 Apr 2020 03:08:00 GMT,3.4916
Sun 30 Apr 2020 03:12:00 GMT,3.392703
Sun 30 Apr 2020 03:16:00 GMT,2.629539
Sun 30 Apr 2020 03:20:00 GMT,3.317232
Sun 30 Apr 2020 03:24:00 GMT,2.707643
Sun 30 Apr 2020 03:28:00 GMT,3.443595
Sun 30 Apr 2020 03:32:00 GMT,3.442226
Sun 30 Apr 2020 03:36:00 GMT,3.411422
Sun 30 Apr 2020 03:40:00 GMT,3.281612
Sun 30 Apr 2020 03:44:00 GMT,2.552601
Sun 30 Apr 2020 03:48:00 GMT,3.392482
Sun 30 Apr 2020 03:52:00 GMT,3.430207
Sun 30 Apr 2020 03:56:00 GMT,3.333717
Sun 30 Apr 2020 04:00:00 GMT,3.567877
Sun 30 Apr 2020 04:04:00 GMT,2.913927
Sun 30 Apr 2020 04:08:00 GMT,3.281667
Sun 30 Apr 2020 04:12:00 GMT,2.577435
Sun 30 Apr 2020 04:16:00 GMT,3.590321
Sun 30 Apr 2020 04:20:00 GMT,3.441391
Sun 30 Apr 2020 04:24:00 GMT,2.856805
Sun 30 Apr 2020 04:28:00 GMT,3.779128
Sun 30 Apr 2020 04:32:00 GMT,3.801104
Sun 30 Apr 2020 04:36:00 GMT,3.093019
Sun 30 Apr 2020 04:40:00 GMT,3.767592
Sun 30 Apr 2020 04:44:00 GMT,2.925313
Sun 30 Apr 2020 04:48:00 GMT,3.27348
Sun 30 Apr 2020 04:52:00 GMT,3.342574
Sun 30 Apr 2020 04:56:00 GMT,2.95198
Sun 30 Apr 2020 05:00:00 GMT,3.758644
Sun 30 Apr 2020 05:04:00 GMT,3.021757
Sun 30 Apr 2020 05:08:00 GMT,3.826566
Sun 30 Apr 2020 05:12:00 GMT,3.820519
Sun 30 Apr 2020 05:16:00 GMT,2.984957
Sun 30 Apr 2020 05:20:00 GMT,3.736713
Sun 30 Apr 2020 05:24:00 GMT,2.919022
Sun 30 Apr 2020 05:28:00 GMT,3.130961
Sun 30 Apr 2020 05:32:00 GMT,3.829994
Sun 30 Apr 2020 05:36:00 GMT,3.234484
Sun 30 Apr 2020 05:40:00 GMT,3.617819
Sun 30 Apr 2020 05:44:00 GMT,3.659414
Sun 30 Apr 2020 05:48:00 GMT,2.914932
Sun 30 Apr 2020 05:52:00 GMT,3.697371
Sun 30 Apr 2020 05:56:00 GMT,3.173948
Sun 30 Apr 2020 06:00:00 GMT,3.808056
Sun 30 Apr 2020 06:04:00 GMT,3.63855
Sun 30 Apr 2020 06:08:00 GMT,3.487693
Sun 30 Apr 2020 06:12:00 GMT,3.525764
Sun 30 Apr 2020 06:16:00 GMT,2.953909
Sun 30 Apr 2020 06:20:00 GMT,3.745152
Sun 30 Apr 2020 06:24:00 GMT,3.794138
Sun 30 Apr 2020 06:28:00 GMT,3.52354
Sun 30 Apr 2020 06:32:00 GMT,3.592747
Sun 30 Apr 2020 06:36:00 GMT,3.108562
Sun 30 Apr 2020 06:40:00 GMT,3.5988
Sun 30 Apr 2020 06:44:00 GMT,3.621852
Sun 30 Apr 2020 06:48:00 GMT,2.847264
Sun 30 Apr 2020 06:52:00 GMT,3.617183
Sun 30 Apr 2020 06:56:00 GMT,3.629331
Sun 30 Apr 2020 07:00:00 GMT,3.620942
Sun 30 Apr 2020 07:04:00 GMT,3.746878
Sun 30 Apr 2020 07:08:00 GMT,2.78888
Sun 30 Apr 2020 07:12:00 GMT,3.573333
Sun 30 Apr 2020 07:16:00 GMT,3.601606
Sun 30 Apr 2020 07:20:00 GMT,3.592261
Sun 30 Apr 2020 07:24:00 GMT,3.548229
Sun 30 Apr 2020 07:28:00 GMT,3.101483
Sun 30 Apr 2020 07:32:00 GMT,3.668638
Sun 30 Apr 2020 07:36:00 GMT,3.599332
Sun 30 Apr 2020 07:40:00 GMT,3.726238
Sun 30 Apr 2020 07:44:00 GMT,3.705531
Sun 30 Apr 2020 07:48:00 GMT,2.912891
Sun 30 Apr 2020 07:52:00 GMT,3.589269
Sun 30 Apr 2020 07:56:00 GMT,3.567341
Sun 30 Apr 2020 08:00:00 GMT,3.527863
Sun 30 Apr 2020 08:04:00 GMT,3.500753
Sun 30 Apr 2020 08:08:00 GMT,3.181771
Sun 30 Apr 2020 08:12:00 GMT,3.535042
Sun 30 Apr 2020 08:16:00 GMT,3.875079
Sun 30 Apr 2020 08:20:00 GMT,3.839798
Sun 30 Apr 2020 08:24:00 GMT,3.358955
Sun 30 Apr 2020 08:28:00 GMT,2.776964
Sun 30 Apr 2020 08:32:00 GMT,3.423448
Sun 30 Apr 2020 08:36:00 GMT,2.732315
Sun 30 Apr 2020 08:40:00 GMT,3.070417
Sun 30 Apr 2020 08:44:00 GMT,3.187954
Sun 30 Apr 2020 08:48:00 GMT,2.952489
Sun 30 Apr 2020 08:52:00 GMT,2.902147
Sun 30 Apr 2020 08:56:00 GMT,2.917495
Sun 30 Apr 2020 09:00:00 GMT,3.757737
Sun 30 Apr 2020 09:04:00 GMT,3.613019
Sun 30 Apr 2020 09:08:00 GMT,3.834134
Sun 30 Apr 2020 09:12:00 GMT,4.142112
Sun 30 Apr 2020 09:16:00 GMT,3.888493
Sun 30 Apr 2020 09:20:00 GMT,3.499748
Sun 30 Apr 2020 09:24:00 GMT,3.567627
Sun 30 Apr 2020 09:28:00 GMT,2.751902
Sun 30 Apr 2020 09:32:00 GMT,3.318596
Sun 30 Apr 2020 09:36:00 GMT,3.446412
Sun 30 Apr 2020 09:40:00 GMT,3.528055
Sun 30 Apr 2020 09:44:00 GMT,3.524799
Sun 30 Apr 2020 09:48:00 GMT,2.629697
Sun 30 Apr 2020 09:52:00 GMT,2.885416
Sun 30 Apr 2020 09:56:00 GMT,3.846157
Sun 30 Apr 2020 10:00:00 GMT,3.697371
Sun 30 Apr 2020 10:04:00 GMT,3.804126
Sun 30 Apr 2020 10:08:00 GMT,3.867307
Sun 30 Apr 2020 10:12:00 GMT,2.811574
Sun 30 Apr 2020 10:16:00 GMT,3.405173
Sun 30 Apr 2020 10:20:00 GMT,2.677763
Sun 30 Apr 2020 10:24:00 GMT,2.710788
Sun 30 Apr 2020 10:28:00 GMT,3.796032
Sun 30 Apr 2020 10:32:00 GMT,3.178303
Sun 30 Apr 2020 10:36:00 GMT,3.84179
Sun 30 Apr 2020 10:40:00 GMT,3.915932
Sun 30 Apr 2020 10:44:00 GMT,3.454785
Sun 30 Apr 2020 10:48:00 GMT,3.522191
Sun 30 Apr 2020 10:52:00 GMT,2.727164
Sun 30 Apr 2020 10:56:00 GMT,3.566087
Sun 30 Apr 2020 11:00:00 GMT,3.911268
Sun 30 Apr 2020 11:04:00 GMT,3.888532
Sun 30 Apr 2020 11:08:00 GMT,3.504787
Sun 30 Apr 2020 11:12:00 GMT,2.728986
Sun 30 Apr 2020 11:16:00 GMT,3.41356
Sun 30 Apr 2020 11:20:00 GMT,3.27313
Sun 30 Apr 2020 11:24:00 GMT,3.727566
Sun 30 Apr 2020 11:28:00 GMT,3.880252
Sun 30 Apr 2020 11:32:00 GMT,2.997461
Sun 30 Apr 2020 11:36:00 GMT,3.798063
Sun 30 Apr 2020 11:40:00 GMT,3.696549
Sun 30 Apr 2020 11:44:00 GMT,3.803721
Sun 30 Apr 2020 11:48:00 GMT,3.832005
Sun 30 Apr 2020 11:52:00 GMT,3.505478
Sun 30 Apr 2020 11:56:00 GMT,3.554943
Sun 30 Apr 2020 12:00:00 GMT,2.79565
Sun 30 Apr 2020 12:04:00 GMT,3.867024
Sun 30 Apr 2020 12:08:00 GMT,3.107019
Sun 30 Apr 2020 12:12:00 GMT,3.651454
Sun 30 Apr 2020 12:16:00 GMT,3.613143
Sun 30 Apr 2020 12:20:00 GMT,2.67495
Sun 30 Apr 2020 12:24:00 GMT,3.758891
Sun 30 Apr 2020 12:28:00 GMT,3.741123
Sun 30 Apr 2020 12:32:00 GMT,2.863379
Sun 30 Apr 2020 12:36:00 GMT,3.826394
Sun 30 Apr 2020 12:40:00 GMT,3.850629
Sun 30 Apr 2020 12:44:00 GMT,2.723452
Sun 30 Apr 2020 12:48:00 GMT,3.813637
Sun 30 Apr 2020 12:52:00 GMT,3.947821
Sun 30 Apr 2020 12:56:00 GMT,2.75322
Sun 30 Apr 2020 13:00:00 GMT,3.756842
Sun 30 Apr 2020 13:04:00 GMT,3.865581
Sun 30 Apr 2020 13:08:00 GMT,3.403123
Sun 30 Apr 2020 13:12:00 GMT,3.464137
Sun 30 Apr 2020 13:16:00 GMT,2.709165
Sun 30 Apr 2020 13:20:00 GMT,3.713435
Sun 30 Apr 2020 13:24:00 GMT,3.781523
Sun 30 Apr 2020 13:28:00 GMT,2.963047
Sun 30 Apr 2020 13:32:00 GMT,3.786166
Sun 30 Apr 2020 13:36:00 GMT,3.610097
Sun 30 Apr 2020 13:40:00 GMT,3.442664
Sun 30 Apr 2020 13:44:00 GMT,3.452666
Sun 30 Apr 2020 13:48:00 GMT,2.628764
Sun 30 Apr 2020 13:52:00 GMT,3.355152
Sun 30 Apr 2020 13:56:00 GMT,3.357658
Sun 30 Apr 2020 14:00:00 GMT,2.758067
Sun 30 Apr 2020 14:04:00 GMT,3.475006
Sun 30 Apr 2020 14:08:00 GMT,2.731095
Sun 30 Apr 2020 14:12:00 GMT,3.469593
Sun 30 Apr 2020 14:16:00 GMT,3.202716
Sun 30 Apr 2020 14:20:00 GMT,3.562291
Sun 30 Apr 2020 14:24:00 GMT,3.599477
Sun 30 Apr 2020 14:28:00 GMT,2.863265
Sun 30 Apr 2020 14:32:00 GMT,3.534365
Sun 30 Apr 2020 14:36:00 GMT,3.550336
Sun 30 Apr 2020 14:40:00 GMT,3.449522
Sun 30 Apr 2020 14:44:00 GMT,3.498467
Sun 30 Apr 2020 14:48:00 GMT,2.857519
Sun 30 Apr 2020 14:52:00 GMT,3.409204
Sun 30 Apr 2020 14:56:00 GMT,3.409226
Sun 30 Apr 2020 15:00:00 GMT,3.154076
Sun 30 Apr 2020 15:04:00 GMT,3.520967
Sun 30 Apr 2020 15:08:00 GMT,2.801618
Sun 30 Apr 2020 15:12:00 GMT,3.480661
Sun 30 Apr 2020 15:16:00 GMT,3.53747
Sun 30 Apr 2020 15:20:00 GMT,3.565444
Sun 30 Apr 2020 15:24:00 GMT,3.441812
